Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,Max,SH,Min,Avg,STD,Cap
08/01/2020,71.7,74.6,73.7,71.6,70.7,69.7,71.2,75.1,79.1,81.7,82.8,84.1,86.2,87.3,87.7,87.9,88.7,88.6,88.1,86.0,77.9,77.2,78.1,77.8,88.7,88.6,69.7,79.9,6.5,100.0
08/02/2020,77.2,77.0,76.6,76.5,74.2,74.6,76.3,78.7,82.6,85.0,86.5,88.1,89.5,90.5,91.6,92.0,92.1,92.1,90.7,87.8,85.9,80.7,77.7,80.3,92.1,92.1,74.2,83.5,6.3,100.0
08/03/2020,78.9,77.9,76.0,75.2,73.7,73.4,74.4,77.6,79.9,82.4,84.7,86.5,87.8,88.9,90.2,91.3,91.6,90.8,88.9,85.8,83.7,81.6,80.1,78.6,91.6,91.3,73.4,82.5,5.9,100.0
08/04/2020,77.2,76.1,75.2,74.2,74.1,73.0,72.8,75.5,79.3,81.3,82.0,84.3,86.4,88.3,89.5,90.5,90.3,90.0,88.8,86.2,84.0,82.5,81.3,81.0,90.5,90.3,72.8,81.8,5.9,100.0
08/05/2020,80.5,79.1,78.4,78.0,77.5,77.5,77.7,78.0,73.7,73.1,74.9,76.6,79.6,80.6,83.7,84.9,86.5,87.7,85.9,82.3,79.2,77.0,75.8,75.5,87.7,86.5,73.1,79.3,3.9,100.0
08/06/2020,75.4,75.3,75.1,75.0,74.4,74.2,74.8,77.2,78.8,82.4,87.2,89.9,92.2,93.8,95.4,96.1,95.8,95.0,93.5,91.1,89.7,88.7,87.9,87.4,96.1,95.8,74.2,85.3,8.1,100.0
08/07/2020,86.4,85.0,84.2,82.6,80.9,79.8,79.5,81.2,83.1,86.3,89.8,91.7,93.0,94.5,95.6,96.1,95.6,95.0,93.5,91.6,90.4,89.4,88.4,87.4,96.1,95.6,79.5,88.4,5.3,100.0
08/08/2020,86.0,84.6,83.2,82.5,81.7,81.1,80.9,82.6,85.3,88.5,91.1,92.7,94.1,95.4,96.6,96.9,96.4,95.3,93.7,91.6,90.3,89.0,87.8,87.0,96.9,96.6,80.9,88.9,5.3,100.0
08/09/2020,85.7,83.9,83.1,82.3,81.2,80.3,80.5,82.1,84.6,87.1,90.0,92.5,94.0,95.4,96.4,96.7,96.8,95.3,94.8,93.2,91.3,90.2,89.3,87.9,96.8,96.7,80.3,88.9,5.6,100.0
08/10/2020,86.4,85.2,84.0,82.9,81.9,80.7,80.5,82.0,84.0,86.4,88.9,90.9,93.1,95.3,96.9,97.4,97.2,96.8,95.5,93.8,92.0,90.4,89.9,88.7,97.4,97.2,80.5,89.2,5.6,100.0
